indicator,period,geography,source,description,data,code
Number of jobs,2017,Electoral ward,Business Register and Employment Survey,Number of jobs. Higher counts indicate a larger number of jobs in an area.,https://sheffwardprofiler.azurewebsites.net/data/economy/data/number_of_jobs.csv,https://sheffwardprofiler.azurewebsites.net/data/economy/code/number_of_jobs.R
Economically inactive,2011,Electoral ward,Census 2011,Percentage of adults of working age who are economically inactive. Higher percentages indicate a larger proportion of economically inactive residents aged 16-74 years.,https://sheffwardprofiler.azurewebsites.net/data/economy/data/economically_inactive.csv,https://sheffwardprofiler.azurewebsites.net/data/economy/code/economically_inactive.R
