indicator,period,geography,source,description,data,code
Residents with no qualifications,2011,Electoral ward,2011 Census,Percentage of residents aged 16 and over who do not have any qualifications. Higher percentages indicate a larger proportion of residents without qualifications.,https://sheffwardprofiler.azurewebsites.net/data/education/data/residents_no_qualifications.csv,https://sheffwardprofiler.azurewebsites.net/data/education/code/residents_no_qualifications.R
Residents with a higher education qualification,2011,Electoral ward,2011 Census,Percentage of residents aged 16 and over who have a higher education qualification. Higher percentages indicate a larger proportion of residents with degrees.,https://sheffwardprofiler.azurewebsites.net/data/education/data/residents_higher_education_qualification.csv,https://sheffwardprofiler.azurewebsites.net/data/education/code/residents_higher_education_qualification.R
